Meeting,Race Number,Distance,Tab No,Horse,Horseid,Weight,Barrier,Jockey,Jockeyid,Trainer,Trackcondition,Class Change,Hist Run Style,Settling Pos,Neural,age restrictions,Race Cl,Limitweight,sex restrictions,Weighttype,Age,Rno,Sex,Margin,LSFinPos,LSSP,Pricebf,MarketRank,Starters
Broken Hill,4,1400.0,2,Tullaghan,949626.0,56.0,2.0,Ms C Munro,16040,T L Day,Good,6.9,mf,4.0,4.0,,Benchmark 58,55.0,,Handicap,6.0,26.0,Gelding,7.2,10.0,61.0,,,5
Broken Hill,4,1400.0,3,Run On,898683.0,56.0,1.0,H Y Yuen,16611,Ms P Trenwith,Good,0.5,op,1.0,3.0,,Benchmark 58,55.0,,Handicap,7.0,43.0,Gelding,8.7,9.0,5.0,,,5
Broken Hill,4,1400.0,4,Brazilliant,850371.0,55.0,3.0,Jade Doyle,16907,D E Oxlade,Good,5.3,op/mf,2.0,2.0,,Benchmark 58,55.0,,Handicap,10.0,58.0,Gelding,15.2,8.0,17.0,,,5
Broken Hill,4,1400.0,6,Equilibrium,848709.0,55.0,5.0,Murray Henderson,7138,A W Prisk,Good,5.8,no data,99.0,5.0,,Benchmark 58,55.0,,Handicap,10.0,97.0,Gelding,6.9,4.0,6.0,,,5
Broken Hill,5,1600.0,1,Fourhometwo,955103.0,59.0,2.0,Jade Doyle,16907,Nathan Hobson,Good,2.5,bm,6.0,1.0,,Open,55.0,,Handicap,6.0,25.0,Gelding,1.5,2.0,31.0,,,7
Broken Hill,5,1600.0,2,Velaro,852397.0,55.0,1.0,Murray Henderson,7138,Jorden McMahon,Good,-0.3,bm,5.0,2.0,,Open,55.0,,Handicap,9.0,43.0,Gelding,5.7,10.0,41.0,,,7
Broken Hill,5,1600.0,3,The Ladies Man,910180.0,53.0,6.0,H Y Yuen,16611,Ms P Trenwith,Good,-12.9,l,1.0,4.0,,Open,55.0,,Handicap,7.0,46.0,Gelding,9.5,9.0,71.0,,,7
Broken Hill,5,1600.0,5,Choncape,905375.0,52.0,5.0,Caitlin Tootell,17178,B J Davis,Good,10.5,mf,2.0,6.0,,Open,55.0,,Handicap,7.0,60.0,Gelding,4.3,8.0,14.0,,,7
Broken Hill,5,1600.0,6,Risenshine,929547.0,55.0,4.0,Robert Beattie,7776,Nathan Hobson,Good,9.5,mf/bm,4.0,5.0,,Open,55.0,,Handicap,6.0,33.0,Gelding,6.2,5.0,4.6,,,7
Broken Hill,5,1600.0,7,Hey Michael,937970.0,55.0,7.0,Sairyn Fawke,15114,K McKerlie & W Hornhardt,Good,12.3,bm,7.0,7.0,,Open,55.0,,Handicap,5.0,33.0,Gelding,1.9,3.0,5.0,,,7
Broken Hill,5,1600.0,8,Moss The Boss,886564.0,52.0,3.0,Ms C Munro,16040,T L Day,Good,12.5,mf,3.0,3.0,,Open,55.0,,Handicap,8.0,65.0,Gelding,7.6,11.0,18.0,,,7
Broken Hill,6,1600.0,1,On Bail,949001.0,59.0,7.0,Robert Beattie,7776,Kim Talent,Good,-7.9,op/mf,2.0,4.0,,Class 2,55.0,,Handicap,5.0,22.0,Gelding,14.2,5.0,6.0,,,7
Broken Hill,6,1600.0,2,Moose River,969765.0,55.5,1.0,H Y Yuen,16611,Ms S Ratsch,Good,-6.1,mf,3.0,7.0,,Class 2,55.0,,Handicap,4.0,14.0,Gelding,6.6,6.0,3.8,,,7
Broken Hill,6,1600.0,3,Project Gutenberg,932940.0,56.0,2.0,Murray Henderson,7138,Larry McMahon,Good,-4.7,l,1.0,6.0,,Class 2,55.0,,Handicap,6.0,23.0,Gelding,14.8,11.0,81.0,,,7
Broken Hill,6,1600.0,4,Zilx,906059.0,54.0,6.0,Jade Doyle,16907,D E Oxlade,Good,-7.4,bm,6.0,3.0,,Class 2,55.0,,Handicap,6.0,14.0,Gelding,6.9,10.0,151.0,,,7
Broken Hill,6,1600.0,5,Rockford Files,876885.0,55.0,5.0,Sairyn Fawke,15114,D E Oxlade,Good,-1.3,mf/bm,4.0,5.0,,Class 2,55.0,,Handicap,8.0,27.0,Gelding,9.2,8.0,101.0,,,7
